2026-02-08 00:50:16,024 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:50:16,390 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:50:17,264 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:50:17,634 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:50:18,048 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:50:18,421 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:50:18,868 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:50:19,283 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:50:19,775 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:50:20,267 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:50:20,895 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:50:21,606 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:50:22,081 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:50:22,446 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:50:22,939 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:50:23,331 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:50:23,996 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:50:24,722 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:50:25,358 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:50:25,707 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:50:26,066 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:50:26,423 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:50:26,792 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:50:26,793 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:50:26,793 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:50:26,793 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:50:26,793 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:50:26,844 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:50:26,846 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:50:26,847 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:50:26,849 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:50:27,205 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:50:27,628 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:50:28,341 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:50:28,770 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:50:29,480 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:50:30,028 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
